person,county_num,case_year,dob_year,race,sex,court_action,amountpaid,amountdue,probation,imposed,total,suspended,atty
1450,8,2007,1969,W,M,guilty plea,1487,1487,0,36,36,0,A-APPOINTED
1451,31,2006,1975,B,M,guilty plea,3110,3110,0,0,120,120,NA
1452,40,2005,1983,W,M,guilty plea,1136,1178,0,6,24,24,A-APPOINTED
1453,39,2007,1984,W,M,guilty plea,3554,3554,0,0,36,36,A-APPOINTED
1454,63,2011,1990,W,M,guilty plea,0,926.9,0,120,120,120,P-PUBLIC
1455,14,2011,1978,W,F,guilty plea,440,17644,0,14,96,96,A-APPOINTED
1456,59,2010,1966,W,M,guilty plea,0,4312,0,46,46,46,A-APPOINTED
1457,38,2005,1977,W,M,guilty plea,0,3545,0,24,24,0,C-CONTRACT
1458,5,2007,1969,W,M,guilty plea,0,797.5,0,96,96,0,R-RETAINED
1459,32,2008,1972,W,M,guilty plea,0,0,0,120,120,0,A-APPOINTED
1460,20,2005,1965,W,F,guilty plea,1435,2311,0,0,36,36,A-APPOINTED
